stype,name,type,nstud,startsem,semester,tuition,room,board,fees,aid,fracresidential,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
cohort,Full time 201830,ug,1,201830,202230,17728.00,5312.50,2800.00,650.00,11224.00,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 201930,ug,755,201930,202230,18338.00,5312.50,2800.00,650.00,12362.00,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202030,ug,765,202030,202230,19027.50,5312.50,2800.00,650.00,12791.00,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202130,ug,783,202130,202230,19600.00,5312.50,2800.00,650.00,12740.00,0.83,0.91,0.89,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202230,ug,1014,202230,202230,19962.50,5471.87,2884.00,650.00,13295.03,0.83,0.89,0.89,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MSA 202040,MSA,2,202040,202230,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202130,MSA,14,202130,202230,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202230,MSA,20,202230,202230,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MBA 202030,MBA,4,202030,202230,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202040,MBA,11,202040,202230,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202130,MBA,34,202130,202230,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202230,MBA,44,202230,202230,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
comment,future cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,Full time 202330,ug,872,202330,202330,20461.56,5636.03,2970.52,650.00,13422.78,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,transfers 202330,ug,130,202330,202330,20461.56,5805.11,3059.64,650.00,10547.00,0.4,0.9,0.86,0.97,0.44,0.71,0.21,0.67,0.5,0,0,0
cohort,Full time 202430,ug,832,202430,202430,20973.10,5805.11,3059.64,650.00,13548.62,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
